ID,pclass,survived,sex,age,age_b,fare
1,1,1,female,29,Adult,"211,34"
2,1,1,male,"0,9167",Child,"151,55"
3,1,0,female,2,Child,"151,55"
4,1,0,male,30,Adult,"151,55"
5,1,0,female,25,Adult,"151,55"
6,1,1,male,48,Adult,"26,55"
7,1,1,female,63,Adult,"77,96"
8,1,0,male,39,Adult,"0,00"
9,1,1,female,53,Adult,"51,48"
10,1,0,male,71,Adult,"49,50"
11,1,0,male,47,Adult,"227,53"
12,1,1,female,18,Adult,"227,53"
13,1,1,female,24,Adult,"69,30"
14,1,1,female,26,Adult,"78,85"
15,1,1,male,80,Adult,"30,00"
16,1,0,male,,Adult,"25,92"
17,1,0,male,24,Adult,"247,52"
18,1,1,female,50,Adult,"247,52"
19,1,1,female,32,Adult,"76,29"
20,1,0,male,36,Adult,"75,24"
21,1,1,male,37,Adult,"52,55"
22,1,1,female,47,Adult,"52,55"
23,1,1,male,26,Adult,"30,00"
24,1,1,female,42,Adult,"227,53"
25,1,1,female,29,Adult,"221,78"
26,1,0,male,25,Adult,"26,00"
27,1,1,male,25,Adult,"91,08"
28,1,1,female,19,Adult,"91,08"
29,1,1,female,35,Adult,"135,63"
30,1,1,male,28,Adult,"26,55"
31,1,0,male,45,Adult,"35,50"
32,1,1,male,40,Adult,"31,00"
33,1,1,female,30,Adult,"164,87"
34,1,1,female,58,Adult,"26,55"
35,1,0,male,42,Adult,"26,55"
36,1,1,female,45,Adult,"262,38"
37,1,1,female,22,Adult,"55,00"
38,1,1,male,,Adult,"26,55"
39,1,0,male,41,Adult,"30,50"
40,1,0,male,48,Adult,"50,50"
41,1,0,male,,Adult,"39,60"
42,1,1,female,44,Adult,"27,72"
43,1,1,female,59,Adult,"51,48"
44,1,1,female,60,Adult,"76,29"
45,1,1,female,41,Adult,"134,50"
46,1,0,male,45,Adult,"26,55"
47,1,0,male,,Adult,"31,00"
48,1,1,male,42,Adult,"26,29"
49,1,1,female,53,Adult,"27,45"
50,1,1,male,36,Adult,"512,33"
51,1,1,female,58,Adult,"512,33"
52,1,0,male,33,Adult,"5,00"
53,1,0,male,28,Adult,"47,10"
54,1,0,male,17,Adult,"47,10"
55,1,1,male,11,Child,"120,00"
56,1,1,female,14,Child,"120,00"
57,1,1,male,36,Adult,"120,00"
58,1,1,female,36,Adult,"120,00"
59,1,0,male,49,Adult,"26,00"
60,1,1,female,,Adult,"27,72"
