"x";"Births per month"
"1";26.663
"2";23.598
"3";26.931
"4";24.74
"5";25.806
"6";24.364
"7";24.477
"8";23.901
"9";23.175
"10";23.227
"11";21.672
"12";21.87
"13";21.439
"14";21.089
"15";23.709
"16";21.669
"17";21.752
"18";20.761
"19";23.479
"20";23.824
"21";23.105
"22";23.11
"23";21.759
"24";22.073
"25";21.937
"26";20.035
"27";23.59
"28";21.672
"29";22.222
"30";22.123
"31";23.95
"32";23.504
"33";22.238
"34";23.142
"35";21.059
"36";21.573
"37";21.548
"38";20
"39";22.424
"40";20.615
"41";21.761
"42";22.874
"43";24.104
"44";23.748
"45";23.262
"46";22.907
"47";21.519
"48";22.025
"49";22.604
"50";20.894
"51";24.677
"52";23.673
"53";25.32
"54";23.583
"55";24.671
"56";24.454
"57";24.122
"58";24.252
"59";22.084
"60";22.991
"61";23.287
"62";23.049
"63";25.076
"64";24.037
"65";24.43
"66";24.667
"67";26.451
"68";25.618
"69";25.014
"70";25.11
"71";22.964
"72";23.981
"73";23.798
"74";22.27
"75";24.775
"76";22.646
"77";23.988
"78";24.737
"79";26.276
"80";25.816
"81";25.21
"82";25.199
"83";23.162
"84";24.707
"85";24.364
"86";22.644
"87";25.565
"88";24.062
"89";25.431
"90";24.635
"91";27.009
"92";26.606
"93";26.268
"94";26.462
"95";25.246
"96";25.18
"97";24.657
"98";23.304
"99";26.982
"100";26.199
"101";27.21
"102";26.122
"103";26.706
"104";26.878
"105";26.152
"106";26.379
"107";24.712
"108";25.688
"109";24.99
"110";24.239
"111";26.721
"112";23.475
"113";24.767
"114";26.219
"115";28.361
"116";28.599
"117";27.914
"118";27.784
"119";25.693
"120";26.881
"121";26.217
"122";24.218
"123";27.914
"124";26.975
"125";28.527
"126";27.139
"127";28.982
"128";28.169
"129";28.056
"130";29.136
"131";26.291
"132";26.987
"133";26.589
"134";24.848
"135";27.543
"136";26.896
"137";28.878
"138";27.39
"139";28.065
"140";28.141
"141";29.048
"142";28.484
"143";26.634
"144";27.735
"145";27.132
"146";24.924
"147";28.963
"148";26.589
"149";27.931
"150";28.009
"151";29.229
"152";28.759
"153";28.405
"154";27.945
"155";25.912
"156";26.619
"157";26.076
"158";25.286
"159";27.66
"160";25.951
"161";26.398
"162";25.565
"163";28.865
"164";30
"165";29.261
"166";29.012
"167";26.992
"168";27.897
