yearqrt,m3,ppi,cpi,gdp,m1nsa,ddnsa,t,lnppi,dppi,dlnppi,lppi,trend
1960q1,692,25.4,19.280001,2391,140.53,111.67,1960q2,3.2347491,,,,1
1960q2,701.59998,25.440001,19.4,2379.2,138.42999,109.47,1960q3,3.2363226,0.040000916,0.001573563,25.4,2
1960q3,709.5,25.370001,19.450001,2383.6001,139.60001,110.33,1960q4,3.2335675,-0.069999695,-0.002755165,25.440001,3
1960q4,722.09998,25.4,19.559999,2352.8999,142.67999,113.23,1961q1,3.2347491,0.029998779,0.001181603,25.370001,4
1961q1,726.20001,25.49,19.57,2366.5,142.22,113.4,1961q2,3.2382863,0.090000153,0.003537178,25.4,5
1961q2,735.29999,25.24,19.58,2410.8,141.36,112.48,1961q3,3.22843,-0.25,-0.009856224,25.49,6
1961q3,748.20001,25.24,19.68,2450.3999,142.00999,112.62,1961q4,3.22843,0,0,25.24,7
1961q4,764.70001,25.280001,19.700001,2500.3999,146.62,116.71,1962q1,3.2300136,0.040000916,0.001583576,25.24,8
1962q1,772.79999,25.42,19.74,2544,146.36,116.76,1962q2,3.2355363,0.13999939,0.005522728,25.280001,9
1962q2,786.90002,25.280001,19.83,2571.5,145.35001,115.38,1962q3,3.2300136,-0.13999939,-0.005522728,25.42,10
1962q3,798.79999,25.41,19.91,2596.8,144.97,114.49,1962q4,3.2351427,0.12999916,0.005129099,25.280001,11
1962q4,817.29999,25.370001,19.959999,2603.3,149.23,118.29,1963q1,3.2335675,-0.039999008,-0.001575232,25.41,12
1963q1,826.90002,25.280001,19.99,2634.1001,149.53,118.76,1963q2,3.2300136,-0.090000153,-0.003553867,25.370001,13
1963q2,841.29999,25.24,20.030001,2668.3999,148.85001,117.53,1963q3,3.22843,-0.040000916,-0.001583576,25.280001,14
1963q3,852.5,25.34,20.18,2719.6001,150.13,118.02,1963q4,3.2323842,0.10000038,0.003954172,25.24,15
1963q4,872,25.360001,20.23,2739.3999,155.2,122.38,1964q1,3.2331731,0.020000458,0.000788927,25.34,16
1964q1,883.09998,25.389999,20.280001,2800.5,154.95,122.28,1964q2,3.2343554,0.029998779,0.001182318,25.360001,17
1964q2,899.20001,25.27,20.32,2833.8,153.94,120.66,1964q3,3.2296178,-0.11999893,-0.004737616,25.389999,18
1964q3,913.40002,25.35,20.41,2872,156.25,122.16,1964q4,3.2327788,0.079999924,0.003160954,25.27,19
1964q4,935.29999,25.42,20.469999,2879.5,162.03999,127.29,1965q1,3.2355363,0.069999695,0.002757549,25.35,20
1965q1,949.29999,25.530001,20.51,2950.1001,161.82001,127.29,1965q2,3.2398543,0.11000061,0.004317999,25.42,21
1965q2,965.70001,25.790001,20.66,2989.8999,160.60001,125.68,1965q3,3.2499869,0.26000023,0.010132551,25.530001,22
1965q3,978.70001,25.98,20.75,3050.7,162.32001,126.49,1965q4,3.2573271,0.18999863,0.007340193,25.790001,23
1965q4,1002.1,26.129999,20.84,3123.6001,169.12,132.33,1966q1,3.2630839,0.14999962,0.005756855,25.98,24
1966q1,1017.5,26.530001,21.01,3201.1001,170.39999,133.66,1966q2,3.2782762,0.40000153,0.01519227,26.129999,25
1966q2,1036.2,26.639999,21.219999,3213.2,170.14,132.82001,1966q3,3.2824137,0.1099987,0.004137516,26.530001,26
1966q3,1049.2,26.93,21.43,3233.6001,169.53,131.34,1966q4,3.293241,0.29000092,0.010827303,26.639999,27
1966q4,1069.1,26.75,21.59,3261.8,173.78,134.92999,1967q1,3.2865345,-0.18000031,-0.006706476,26.93,28
1967q1,1080.3,26.74,21.629999,3291.8,173.7,134.98,1967q2,3.2861605,-0.010000229,-0.000374079,26.75,29
1967q2,1093,26.700001,21.780001,3289.7,174.21001,135.00999,1967q3,3.2846637,-0.039999008,-0.001496792,26.74,30
1967q3,1112.5,26.809999,22.01,3313.5,178.05,138.03999,1967q4,3.288775,0.1099987,0.00411129,26.700001,31
1967q4,1143.3,26.860001,22.190001,3338.3,184.72,143.87,1968q1,3.2906382,0.050001144,0.001863241,26.809999,32
1968q1,1161.9,27.23,22.43,3406.2,185.23,144.35001,1968q2,3.3043194,0.36999893,0.013681173,26.860001,33
1968q2,1182.5,27.4,22.68,3464.8,186.7,144.99001,1968q3,3.3105431,0.17000008,0.006223679,27.23,34
1968q3,1205.4,27.51,22.959999,3489.2,190.39,147.50999,1968q4,3.3145497,0.11000061,0.004006624,27.4,35
1968q4,1234.6,27.65,23.24,3504.1001,198.21001,154.3,1969q1,3.3196256,0.13999939,0.005075932,27.51,36
1969q1,1252.4,28.07,23.5,3558.3,199.64,155.75999,1969q2,3.3347013,0.42000008,0.015075684,27.65,37
1969q2,1273.5,28.440001,23.91,3567.6001,199.67,155.03,1969q3,3.3477967,0.37000084,0.013095379,28.07,38
1969q3,1294.8,28.65,24.25,3588.3,200.61,154.83,1969q4,3.3551533,0.20999908,0.007356644,28.440001,39
1969q4,1324.5,28.93,24.59,3571.3999,205.75999,159,1970q1,3.3648791,0.28000069,0.009725809,28.65,40
1970q1,615.70001,29.35,24.950001,3566.5,205.48,158.92,1970q2,3.3792925,0.42000008,0.014413357,28.93,41
1970q2,629,29.49,25.360001,3573.8999,206.41,158.72,1970q3,3.3840513,0.13999939,0.004758835,29.35,42
1970q3,652.70001,29.66,25.639999,3605.2,208.96001,160.10001,1970q4,3.3897994,0.17000008,0.005748034,29.49,43
1970q4,678.20001,29.700001,25.98,3566.5,215.63,165.92,1971q1,3.3911471,0.040000916,0.00134778,29.66,44
1971q1,706.29999,30.139999,26.17,3666.1001,217.02,167.25,1971q2,3.4058533,0.43999863,0.014706135,29.700001,45
1971q2,732.09998,30.5,26.469999,3686.2,221.02,169.89,1971q3,3.4177268,0.36000061,0.011873484,30.139999,46
1971q3,750,30.74,26.74,3714.5,224.67,172.00999,1971q4,3.4255648,0.23999977,0.007838011,30.5,47
1971q4,776.59998,30.76,26.879999,3723.8,229.98,176.56,1972q1,3.4262152,0.020000458,0.000650406,30.74,48
1972q1,800.5,31.33,27.09,3796.8999,231.88,178.55,1972q2,3.444576,0.56999969,0.018360853,30.76,49
1972q2,827,31.639999,27.309999,3883.8,235.06,180.46001,1972q3,3.4544222,0.30999947,0.009846211,31.33,50
1972q3,854.79999,32.110001,27.559999,3922.3,239.92,183.95,1972q4,3.4691675,0.47000122,0.014745235,31.639999,51
1972q4,886.20001,32.450001,27.809999,3990.5,249.35001,191.85001,1973q1,3.4797006,0.34000015,0.010533094,32.110001,52
1973q1,914.70001,34.02,28.200001,4092.3,251.2,193.45,1973q2,3.5269487,1.5699997,0.047248125,32.450001,53
1973q2,943.5,35.669998,28.82,4133.2998,253.72,194.09,1973q3,3.5743101,1.6499977,0.047361374,34.02,54
1973q3,965,37.139999,29.450001,4117,256.73999,195.67,1973q4,3.6146946,1.4700012,0.040384531,35.669998,55
1973q4,985.20001,37.459999,30.139999,4151.1001,263.72,201.28999,1974q1,3.6232736,0.31999969,0.008579016,37.139999,56
1974q1,1010,39.939999,30.99,4119.2998,264.39001,201.41,1974q2,3.6873784,2.4799995,0.064104795,37.459999,57
1974q2,1040.4,41.360001,31.860001,4130.3999,266.69,201.5,1974q3,3.7223144,1.420002,0.034935951,39.939999,58
1974q3,1052.6,44.299999,32.830002,4084.5,269.29999,202.37,1974q4,3.7909846,2.9399986,0.068670273,41.360001,59
1974q4,1070.8,45.84,33.790001,4062,276.42999,207.44,1975q1,3.8251572,1.5400009,0.034172535,44.299999,60
